FID,STATEFP10,PUMACE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
39,53,11609,5311609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA",G6120,S,203316017.000000000000000,29475335.000000000000000,+47.5616312,-122.0701808
40,53,11610,5311610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA",G6120,S,75932519.000000000000000,4683508.000000000000000,+47.4836108,-122.1904418
41,53,11611,5311611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA",G6120,S,104713239.000000000000000,6814287.000000000000000,+47.4625998,-122.3095933
42,53,11612,5311612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA",G6120,S,160777398.000000000000000,278865905.000000000000000,+47.4764315,-122.4271827
43,53,11613,5311613,King County (Southwest Central)--Kent City PUMA,G6120,S,96617743.000000000000000,1916133.000000000000000,+47.3871510,-122.2134237
44,53,11614,5311614,King County (Southwest)--Auburn City & Lakeland PUMA,G6120,S,178170773.000000000000000,2466409.000000000000000,+47.2848663,-122.1693810
45,53,11615,5311615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA",G6120,S,1705564997.000000000000000,20678903.000000000000000,+47.2978465,-121.7860533
46,53,11616,5311616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA",G6120,S,2477116945.000000000000000,49622430.000000000000000,+47.6075559,-121.5876011
47,53,11701,5311701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA",G6120,S,68407041.000000000000000,4228769.000000000000000,+47.8094237,-122.3238471
48,53,11702,5311702,Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA,G6120,S,83632729.000000000000000,5720797.000000000000000,+47.8850557,-122.2739659
49,53,11703,5311703,Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA,G6120,S,70550367.000000000000000,8905191.000000000000000,+47.9448510,-122.2113738
50,53,11704,5311704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA",G6120,S,167522640.000000000000000,428768.000000000000000,+47.8165691,-122.1351261
51,53,11705,5311705,Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA,G6120,S,2428149902.000000000000000,35298114.000000000000000,+47.9123171,-121.6068220
52,53,11706,5311706,Snohomish County (North)--Marysville & Arlington Cities PUMA,G6120,S,2587750585.000000000000000,227789855.000000000000000,+48.1797844,-121.7654135
53,53,11801,5311801,Kitsap County (North)--Bainbridge Island City & Silverdale PUMA,G6120,S,471712068.000000000000000,384704700.000000000000000,+47.7284856,-122.6015652
54,53,11802,5311802,Kitsap County (South)--Bremerton & Port Orchard Cities PUMA,G6120,S,551181084.000000000000000,58125066.000000000000000,+47.5116720,-122.7140249
55,53,11900,5311900,Clallam & Jefferson Counties PUMA,G6120,S,9173813074.000000000000000,3397419278.000000000000000,+48.0027435,-123.8208473
